DEDICACION,CATEGORIA,ENERO,FEBRERO,MARZO,ABRIL
exclusiva,Titular,1492492.77,1525327.61,1555834.16,1582283.34
exclusiva,Asociado,1328102.49,1357320.74,1384467.15,1408003.09
exclusiva,Adjunto,1164293.00,1189907.44,1213705.58,1234338.57
exclusiva,JTP,999898.21,1021895.97,1042333.88,1060053.55
exclusiva,Ayudante de 1era,835335.06,853712.43,870786.67,885590.04
semiexclusiva,Titular,746247.64,762665.08,777918.38,791142.99
semiexclusiva,Asociado,664050.24,678659.34,692232.52,704000.47
semiexclusiva,Adjunto,582141.37,594948.48,606847.44,617163.84
semiexclusiva,JTP,499948.40,510947.26,521166.20,530026.02
semiexclusiva,Ayudante de 1era,417666.30,426854.95,435392.04,442793.70
simple,Titular,373122.81,381331.51,388958.14,395570.42
simple,Asociado,332020.57,339325.02,346111.52,351995.41
simple,Adjunto,291067.73,297471.22,303420.64,308578.79
simple,JTP,249971.28,255470.64,260580.05,265009.91
simple,Ayudante de 1era,208829.45,213423.69,217692.16,221392.92
simple,Ayudante de 2da,167066.24,170741.69,174156.52,177117.18
